Location,Date,Year,Plant_Date,Days_After_Planting,County,LocMinTempC,LocMaxTempC,LocMinTempF,LocMaxTempF,PRISMMinTempC,PRISMMaxTempC,PRISMMinTempF,PRISMMaxTempF,CIMIS,StatMinTempC,StatMaxTempC,StatMinTempF,StatMaxTempF,MINDif_OUT,MAXDif_OUT,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,HeadM105_DaysToHeading,HeadM206_DaysToHeading,HeadM209_DaysToHeading,HeadM210_DaysToHeading,HeadM211_DaysToHeading,HeadM401_DaysToHeading
BosworthRue,2016-07-15,2016,2016-05-16,60,Yuba,18.111111111111107,33.94444444444444,64.6,93.1,17.17399978888889,37.83800127777777,62.91319962,100.1084023,Verona235,13.555555555555555,35.22222222222222,56.4,95.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-16,2016,2016-05-16,61,Yuba,16.833333333333332,29.055555555555557,62.3,84.3,17.29999923888889,36.73300171111111,63.13999863,98.11940308,Verona235,13.444444444444446,32.166666666666664,56.2,89.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-17,2016,2016-05-16,62,Yuba,15.38888888888889,27.11111111111111,59.7,80.8,15.875,33.111999511111115,60.575,91.60159912,Verona235,12.944444444444443,28.444444444444443,55.3,83.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-18,2016,2016-05-16,63,Yuba,14.722222222222221,26.38888888888889,58.5,79.5,14.44999981111111,31.124000550000005,58.00999966,88.02320099,Verona235,12.611111111111112,28.88888888888889,54.7,84,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-19,2016,2016-05-16,64,Yuba,14.722222222222221,29.22222222222222,58.5,84.6,14.003000261111112,29.968999861111108,57.20540047,85.94419975,Verona235,13.277777777777779,30.38888888888889,55.9,86.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-20,2016,2016-05-16,65,Yuba,14.222222222222221,32.27777777777778,57.6,90.1,14.47700023888889,31.65099906666667,58.05860043,88.97179832,Verona235,13.277777777777779,32.22222222222222,55.9,90,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-21,2016,2016-05-16,66,Yuba,14.333333333333334,29.555555555555557,57.8,85.2,14.282999994444445,33.22700118888889,57.70939999,91.80860214,Verona235,13.499999999999998,31.666666666666668,56.3,89,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-22,2016,2016-05-16,67,Yuba,13.055555555555555,32.888888888888886,55.5,91.2,13.845000266666666,33.452999116666675,56.92100048,92.21539841,Verona235,10.111111111111112,36.77777777777778,50.2,98.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-23,2016,2016-05-16,68,Yuba,14.38888888888889,35.27777777777778,57.9,95.5,12.861000061111111,35.28400039444445,55.14980011,95.51120071,Verona235,12.944444444444443,37.611111111111114,55.3,99.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-07-24,2016,2016-05-16,69,Yuba,16.88888888888889,34.111111111111114,62.4,93.4,16.27300071666667,38.49499894444445,61.29140129,101.2909981,Verona235,14.000000000000002,36.611111111111114,57.2,97.9,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
