Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Stat_Cumulative_GDD
HeadM211_DaysToHeading,Wylie,2022,99,20,38,35.62555555555555,77.13229846944445,57.22222222222222
HeadM211_DaysToHeading,Wylie,2023,88,20,38,86.61472222222223,136.39919758055555,91.77777777777777
HeadM211_DaysToHeading,BosworthRue,2016,91,20,39,124.41666666666667,19.547499655555555,0
HeadM211_DaysToHeading,BosworthRue,2017,82,20,39,249.07833333333332,205.59399985833335,40.5
HeadM211_DaysToHeading,BosworthRue,2018,90,20,39,51.00416666666666,91.92150020277778,18.38888888888889
HeadM211_DaysToHeading,BosworthRue,2019,90,20,39,107.20583333333333,0,0
HeadM211_DaysToHeading,BosworthRue,2020,100,20,39,54.363888888888894,19.692999838888888,0
HeadM211_DaysToHeading,BosworthRue,2021,100,20,39,0,59.45694923333333,0
HeadM211_DaysToHeading,BosworthRue,2022,89,20,39,53.20166666666667,77.95919797222223,38.41666666666667
HeadM211_DaysToHeading,BosworthRue,2023,85,20,39,108.73583333333333,138.4423494388889,19.58333333333333
HeadM211_DaysToHeading,Canal,2016,100,20,39,65.54194444444445,0,56.72222222222223
HeadM211_DaysToHeading,Canal,2017,89,20,39,212.49777777777777,204.4800004916667,232.55799961111111
HeadM211_DaysToHeading,Canal,2018,90,20,39,67.66277777777778,39.05199814444444,73.02777777777779
HeadM211_DaysToHeading,Canal,2019,98,20,39,106.3025,18.472999572222218,109.77777777777779
HeadM211_DaysToHeading,Canal,2020,93,20,39,180.4041666666667,117.86899948333334,179.55555555555554
HeadM211_DaysToHeading,Canal,2023,79,20,39,196.10138888888886,58.64999771666666,75.38888888888889
HeadM211_DaysToHeading,Canal,2024,83,20,39,352.81111111111113,256.45574188055554,211.36111111111111
HeadM211_DaysToHeading,DelRio,2021,119,20,39,0,0,0
HeadM211_DaysToHeading,DelRio,2022,120,20,39,0,0,0
HeadM211_DaysToHeading,DelRio,2023,113,20,39,0,18.155098913888892,0
HeadM211_DaysToHeading,ErdmanGallagher,2017,83,20,39,139.03972222222222,160.70750045,157.68411106388888
HeadM211_DaysToHeading,ErdmanGallagher,2018,89,20,39,51.0925,19.232499133333334,57.75
HeadM211_DaysToHeading,ErdmanGallagher,2019,92,20,39,78.71388888888889,0,19.583333333333332
HeadM211_DaysToHeading,ErdmanGallagher,2020,95,20,39,57.805,0,39.02777777777778
HeadM211_DaysToHeading,ErdmanGallagher,2021,96,20,39,19.753611111111113,0,20.27777777777778
HeadM211_DaysToHeading,ErdmanGallagher,2023,91,20,39,111.07583333333334,18.457949638888888,59.138888888888886
HeadM211_DaysToHeading,ErdmanGallagher,2024,88,20,39,169.82916666666665,81.05084801944444,118.13888888888889
HeadM211_DaysToHeading,LarrabeeSheppard,2016,93,20,39,102.32,38.736499788888885,0
HeadM211_DaysToHeading,LarrabeeSheppard,2017,84,20,39,245.1038888888889,285.78300094166667,192.27777777777777
HeadM211_DaysToHeading,LarrabeeSheppard,2018,86,20,39,69.08055555555555,308.5160036138889,55.61111111111111
HeadM211_DaysToHeading,LarrabeeSheppard,2019,98,20,39,121.91083333333334,17.984000208333327,34.08333333333333
HeadM211_DaysToHeading,LarrabeeSheppard,2020,94,20,39,107.26305555555555,58.68400001666666,40.27777777777778
HeadM211_DaysToHeading,LarrabeeSheppard,2021,95,20,39,128.0886111111111,58.29709719444444,105.19444444444443
HeadM211_DaysToHeading,LarrabeeSheppard,2022,97,20,39,53.39027777777778,18.79374980833333,52.66666666666666
HeadM211_DaysToHeading,LarrabeeSheppard,2023,87,20,39,143.13888888888889,78.17294978055556,19.5
HeadM211_DaysToHeading,LarrabeeSheppard,2024,86,20,39,313.0872222222222,254.96374415555556,152.02777777777777
HeadM211_DaysToHeading,Lauppe,2017,81,20,39,190.1611111111111,116.47250079999999,40.5
HeadM211_DaysToHeading,Lauppe,2018,88,20,39,17.959444444444443,0,18.38888888888889
HeadM211_DaysToHeading,Lauppe,2019,92,20,39,59.6975,0,0
HeadM211_DaysToHeading,Lauppe,2020,88,20,39,74.52888888888889,0,0
HeadM211_DaysToHeading,Lauppe,2021,96,20,39,19.806666666666665,0,0
HeadM211_DaysToHeading,Lauppe,2022,97,20,39,17.775555555555556,0,38.41666666666667
HeadM211_DaysToHeading,Lauppe,2023,91,20,39,36.49944444444445,74.5659484861111,34.388888888888886
HeadM211_DaysToHeading,Lauppe,2024,85,20,39,169.83666666666667,101.12964820555555,59.413260883333336
HeadM211_DaysToHeading,Rehmann,2017,96,20,39,76.22166666666666,113.57450103888888,112.89555570833333
HeadM211_DaysToHeading,Rehmann,2018,98,20,39,0,0,18.583333333333336
HeadM211_DaysToHeading,Rehmann,2019,103,20,39,0,0,0
HeadM211_DaysToHeading,Rehmann,2021,93,20,39,0,0,0
HeadM211_DaysToHeading,Schohr,2016,91,20,39,140.56472222222223,56.91899872222223,56.72222222222223
HeadM211_DaysToHeading,Schohr,2017,87,20,39,250.3372222222222,289.56300165,593.0642777555555
HeadM211_DaysToHeading,Schohr,2018,88,20,39,90.28888888888889,448.6550025916667,481.81961101944444
HeadM211_DaysToHeading,Schohr,2019,93,20,39,90.28888888888889,17.84549903888889,54.63888888888889
HeadM211_DaysToHeading,Schohr,2020,95,20,39,92.70555555555555,58.56099986944445,96.19444444444444
HeadM211_DaysToHeading,Schohr,2021,101,20,39,38.138888888888886,57.542248722222226,38.138888888888886
HeadM211_DaysToHeading,Schohr,2022,104,20,39,16.051111111111112,36.51074886111111,36.416666666666664
HeadM211_DaysToHeading,Schohr,2023,91,20,39,145.17777777777778,59.32589912500001,95.66666666666666
HeadM211_DaysToHeading,Schohr,2024,91,20,39,262.33444444444444,254.05134298611114,255.02777777777777
HeadM211_DaysToHeading,Wylie,2016,94,20,39,51.17111111111112,19.69200038888889,56.72222222222223
HeadM211_DaysToHeading,Wylie,2017,89,20,39,210.82861111111112,285.66050241666665,250.8689449111111
HeadM211_DaysToHeading,Wylie,2018,90,20,39,84.9225,40.916500086111114,73.02777777777779
HeadM211_DaysToHeading,Wylie,2019,97,20,39,88.55194444444444,56.96749878055556,129.30555555555557
HeadM211_DaysToHeading,Wylie,2020,95,20,39,89.89083333333332,58.20999908333334,124.05555555555556
HeadM211_DaysToHeading,Wylie,2021,95,20,39,109.60527777777777,59.55364894722222,39.333333333333336
HeadM211_DaysToHeading,Wylie,2022,99,20,39,35.62555555555555,78.63229846944445,58.22222222222222
HeadM211_DaysToHeading,Wylie,2023,88,20,39,86.61472222222223,139.31834508055556,92.05555555555556
HeadM211_DaysToHeading,BosworthRue,2016,91,20,40,124.41666666666667,19.758999822222222,0
HeadM211_DaysToHeading,BosworthRue,2017,82,20,40,249.22333333333333,208.32550049722224,41.33333333333333
HeadM211_DaysToHeading,BosworthRue,2018,90,20,40,51.00416666666666,91.92150020277778,18.38888888888889
HeadM211_DaysToHeading,BosworthRue,2019,90,20,40,107.20583333333333,0,0
HeadM211_DaysToHeading,BosworthRue,2020,100,20,40,54.363888888888894,19.775000561111106,0
HeadM211_DaysToHeading,BosworthRue,2021,100,20,40,0,60.68714906666666,0
HeadM211_DaysToHeading,BosworthRue,2022,89,20,40,53.20166666666667,78.45919797222223,38.41666666666667
HeadM211_DaysToHeading,BosworthRue,2023,85,20,40,108.73583333333333,140.9423494388889,19.58333333333333
HeadM211_DaysToHeading,Canal,2016,100,20,40,65.54194444444445,0,56.72222222222223
HeadM211_DaysToHeading,Canal,2017,89,20,40,212.50166666666667,207.20300007500003,234.22466627777777
HeadM211_DaysToHeading,Canal,2018,90,20,40,67.66277777777778,39.05199814444444,73.02777777777779
HeadM211_DaysToHeading,Canal,2019,98,20,40,106.3025,18.472999572222218,109.86111111111111
HeadM211_DaysToHeading,Canal,2020,93,20,40,180.4041666666667,119.11549951111111,180.61111111111111
HeadM211_DaysToHeading,Canal,2023,79,20,40,196.10138888888886,58.64999771666666,75.38888888888889
HeadM211_DaysToHeading,Canal,2024,83,20,40,353.8575,259.2510394916667,212.83333333333334
HeadM211_DaysToHeading,DelRio,2021,119,20,40,0,0,0
HeadM211_DaysToHeading,DelRio,2022,120,20,40,0,0,0
HeadM211_DaysToHeading,DelRio,2023,113,20,40,0,18.155098913888892,0
HeadM211_DaysToHeading,ErdmanGallagher,2017,83,20,40,139.72722222222222,163.20750045,159.68411106388888
HeadM211_DaysToHeading,ErdmanGallagher,2018,89,20,40,51.0925,19.232499133333334,57.75
HeadM211_DaysToHeading,ErdmanGallagher,2019,92,20,40,78.71388888888889,0,19.583333333333332
HeadM211_DaysToHeading,ErdmanGallagher,2020,95,20,40,57.805,0,39.52777777777778
HeadM211_DaysToHeading,ErdmanGallagher,2021,96,20,40,19.78611111111111,0,20.555555555555557
HeadM211_DaysToHeading,ErdmanGallagher,2023,91,20,40,111.07583333333334,18.457949638888888,59.55555555555556
HeadM211_DaysToHeading,ErdmanGallagher,2024,88,20,40,170.1297222222222,81.2108974638889,119.91666666666667
